insertion_date_utc	effective_date_utc	tai_minus_utc_after	source_bulletin	snapshot_date	expires_on	source_uri
1972-06-30	1972-07-01	11	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1972-12-31	1973-01-01	12	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1973-12-31	1974-01-01	13	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1974-12-31	1975-01-01	14	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1975-12-31	1976-01-01	15	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1976-12-31	1977-01-01	16	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1977-12-31	1978-01-01	17	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1978-12-31	1979-01-01	18	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1979-12-31	1980-01-01	19	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1981-06-30	1981-07-01	20	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1982-06-30	1982-07-01	21	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1983-06-30	1983-07-01	22	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1985-06-30	1985-07-01	23	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1987-12-31	1988-01-01	24	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1989-12-31	1990-01-01	25	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1990-12-31	1991-01-01	26	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1992-06-30	1992-07-01	27	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1993-06-30	1993-07-01	28	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1994-06-30	1994-07-01	29	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1995-12-31	1996-01-01	30	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1997-06-30	1997-07-01	31	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
1998-12-31	1999-01-01	32	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
2005-12-31	2006-01-01	33	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
2008-12-31	2009-01-01	34	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
2012-06-30	2012-07-01	35	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
2015-06-30	2015-07-01	36	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
2016-12-31	2017-01-01	37	IERS-BULLETIN-C	2026-07-27	2027-06-28	https://data.iana.org/time-zones/tzdb/leap-seconds.list
